item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,price_is_starting,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,extraction_evidence,review_status
SEA013-AI-001,SEA013,Matcha Latte,Matcha Latte,Original,True,True,,7.25,7.25,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Matcha Latte — Fresh dairy & a double matcha shot — $7.25,Reviewed
SEA013-AI-002,SEA013,Dirty Matcha Latte,Matcha Latte,Espresso,True,True,,8.25,8.25,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Dirty Matcha Latte — Fresh dairy, double espresso shot, & a double matcha shot — $8.25",Reviewed
SEA013-AI-003,SEA013,Guava Matcha Latte,Matcha Latte,Guava,True,True,,7.75,7.75,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Guava Matcha Latte — Fresh dairy, all-natural house-made guava puree, & a double shot of matcha — $7.75",Reviewed
SEA013-AI-004,SEA013,Madagascar Vanilla Matcha Latte,Matcha Latte,Madagascar Vanilla,True,True,,7.5,7.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Madagascar Vanilla Matcha Latte — Fresh dairy, Madagascar vanilla, & a double matcha shot — $7.50",Reviewed
SEA013-AI-005,SEA013,Mango Matcha Latte,Matcha Latte,Mango,True,True,,7.5,7.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Mango Matcha Latte — Fresh dairy, real mango puree, & a double shot of matcha — $7.50",Reviewed
SEA013-AI-006,SEA013,Strawberry Matcha Latte,Matcha Latte,Strawberry,True,True,,7.5,7.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Strawberry Matcha Latte — Fresh dairy, real strawberries, & a double matcha shot — $7.50",Reviewed
SEA013-AI-007,SEA013,Ganbaru Ceremonial Matcha,Matcha,Original,True,True,,7.0,7.0,False,,Ceremonial,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Ganbaru Ceremonial Matcha Cold Brew — first harvest shade-grown matcha — $7.00,Reviewed
SEA013-AI-008,SEA013,Chosen Ceremonial Matcha,Matcha,Original,True,True,,7.25,7.25,False,,Ceremonial,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Chosen Ceremonial Matcha Cold Brew — first harvest shade-grown matcha — $7.25,Reviewed
SEA013-AI-009,SEA013,Dirty Matcha,Matcha,Espresso,True,True,,7.75,7.75,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Dirty Matcha Cold Brew — matcha with milk and double espresso — $7.75,Reviewed
SEA013-AI-010,SEA013,Guava Matcha,Matcha,Guava,True,True,,7.5,7.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Guava Matcha Cold Brew — premium matcha and house-made guava puree — $7.50,Reviewed
SEA013-AI-011,SEA013,Mango Matcha,Matcha,Mango,True,True,,7.25,7.25,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Mango Matcha Cold Brew — signature premium matcha and real mangoes — $7.25,Reviewed
SEA013-AI-012,SEA013,Madagascar Vanilla Matcha,Matcha,Madagascar Vanilla,True,True,,7.25,7.25,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Madagascar Vanilla Matcha Cold Brew — premium matcha, Madagascar vanilla, and fresh dairy — $7.25",Reviewed
SEA013-AI-013,SEA013,Strawberry Matcha,Matcha,Strawberry,True,True,,7.25,7.25,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Cold Strawberry Matcha Cold Brew — premium matcha and real strawberries — $7.25,Reviewed
SEA013-AI-014,SEA013,Yuzu Dragon Fruit Matcha,Matcha,Yuzu; Dragon Fruit,True,True,,7.5,7.5,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Cold Yuzu Dragon Fruit Matcha Cold Brew — premium matcha, yuzu juice, and real dragon fruit — $7.50",Reviewed
SEA013-AI-015,SEA013,Dirty Matcha Blended,Matcha Smoothie,Espresso,,True,,9.0,9.0,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Dirty Matcha Blended — premium matcha blended with vanilla cream and double espresso — $9.00,Reviewed
SEA013-AI-016,SEA013,Matcha Blended,Matcha Smoothie,Original,,True,,8.0,8.0,False,,Premium grade,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Matcha Blended — premium grade matcha blended with vanilla cream — $8.00,Reviewed
SEA013-AI-017,SEA013,Strawberry Matcha Blended,Matcha Smoothie,Strawberry,,True,,8.25,8.25,False,,Premium grade,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Strawberry Matcha Blended — premium grade matcha, strawberry puree, vanilla cream — $8.25",Reviewed
SEA013-AI-018,SEA013,Matcha Soft Serve,Matcha Dessert,Original,,,,6.5,6.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Matcha Soft Serve — made with fresh milk — $6.50,Reviewed
SEA013-AI-019,SEA013,Matcha Vanilla Swirl,Matcha Dessert,Vanilla,,,,6.5,6.5,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,Matcha Vanilla Swirl — made with fresh milk — $6.50,Reviewed
SEA013-AI-020,SEA013,Espresso Affogato,Matcha Dessert,Espresso,,,,6.75,6.75,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Espresso Affogato — vanilla soft serve, signature premium matcha, espresso shot — $6.75",Reviewed
SEA013-AI-021,SEA013,Matcha Affogato,Matcha Dessert,Original,,,,6.75,6.75,False,,Premium,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Matcha Affogato — vanilla soft serve, signature premium matcha, matcha shot — $6.75",Reviewed
SEA013-AI-022,SEA013,Chocolate Hazelnut Matcha Latte,Matcha Latte,Chocolate; Hazelnut,,True,,8.95,8.95,False,,,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Chocolate Hazelnut Matcha Latte — fresh dairy, chocolate hazelnut puree, double shot of matcha — $8.95",Reviewed
SEA013-AI-023,SEA013,Chocolate Hazelnut Matcha Blended,Matcha Smoothie,Chocolate; Hazelnut,,True,,8.95,8.95,False,,Premium grade,Official Order App,https://toast.app/r/junbi-seattle/order,2026-08-29,"Chocolate Hazelnut Matcha Blended — premium grade matcha, chocolate hazelnut puree, vanilla cream — $8.95",Reviewed
