item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,price_is_starting,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,extraction_evidence,review_status
SEA004-AI-001,SEA004,Matcha-Americano,Matcha,Original,,True,,5.5,5.5,False,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,Ceremonial matcha & water,Reviewed
SEA004-AI-002,SEA004,Matcha Latte,Matcha Latte,Original,,True,,7.0,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,"Organic ceremonial matcha, milk, pure maple syrup",Reviewed
SEA004-AI-003,SEA004,Sakura Matcha Latte,Matcha Latte,Sakura,,True,,7.25,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,sakura infused syrup,Reviewed
SEA004-AI-004,SEA004,Lavender Matcha Latte,Matcha Latte,Lavender,,True,,7.25,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,lavender syrup,Reviewed
SEA004-AI-005,SEA004,Rose Matcha Latte,Matcha Latte,Rose,,True,,7.25,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,rose infused syrup,Reviewed
SEA004-AI-006,SEA004,Chai Matcha Latte,Matcha Latte,Chai,,True,,6.75,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,"Organic ceremonial matcha, spiced chai, milk",Reviewed
SEA004-AI-007,SEA004,Vanilla Matcha Latte,Matcha Latte,Vanilla,,True,,7.25,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,"vanilla paste, maple syrup",Reviewed
SEA004-AI-008,SEA004,Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,,7.5,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,fresh strawberry puree,Reviewed
SEA004-AI-009,SEA004,Double Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,,9.0,9.0,False,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,with strawberry cream top,Reviewed
SEA004-AI-010,SEA004,Strawberry Cream Top Matcha Latte,Matcha Latte,Strawberry,False,True,,8.5,8.5,False,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,(iced only),Reviewed
SEA004-AI-011,SEA004,Salted Cream Top Matcha Latte,Matcha Latte,Original,,True,,8.0,8.0,False,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,salted cream cold foam,Reviewed
SEA004-AI-012,SEA004,Coconut Matcha Cloud,Matcha,Coconut,False,True,,7.5,,True,,,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,(iced only) - $7.50+,Reviewed
SEA004-AI-013,SEA004,Calamansi Matcha Soda,Matcha Soda,Calamansi,,True,,5.75,,True,,Ceremonial,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,"Ceremonial matcha, pure calamansi juice, club soda",Reviewed
SEA004-AI-014,SEA004,Carrot Cake Matcha Latte,Matcha Latte,Carrot Cake,,True,,8.0,8.0,False,,,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,Carrot Cake Matcha Latte with house made carrot cake syrup,Reviewed
SEA004-AI-015,SEA004,Banana Bread Matcha Latte,Matcha Latte,Banana Bread,,True,,8.5,8.5,False,,,Official Website,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,2026-08-29,Banana Bread Matcha Latte with house made banana bread syrup,Reviewed
